6forty radio,http://radio.6forty.com:8000/6forty.m3u
Ignoreradio Shoegaze,http://uk7.internet-radio.com:8313/
Nightwave Plaza,http://radio.plaza.one/mp3
Vaporwaves,http://somafm.com/vaporwaves.pls
Planet LoFi,http://198.245.60.88:8080/listen.plsid=1
Beat Blender,http://somafm.com/beatblender.pls
Chillhop Music,https://streams.ilovemusic.de/iloveradio17.mp3
Hunter FM,https://live.hunter.fm/lofi_high
Groove Salad,http://somafm.com/groovesalad.pls
Groove Salad Classic,https://somafm.com/gsclassic130.pls
DEF CON Radio,http://somafm.com/defcon.pls
Retro PC Game Music,http://gyusyabu.ddo.jp/MP3/MP3.html
Cliqhop idm,https://somafm.com/cliqhop256.pls
Fluid,https://somafm.com/fluid.pls
Digitalis,https://somafm.com/digitalis.pls
Secret Agent,http://somafm.com/secretagent.pls
SomaFM Specials,https://somafm.com/specials130.pls
